iter	Passed	Remaining
0	143	143318
1	144	72307
2	146	48603
3	147	36694
4	148	29560
5	149	24837
6	151	21446
7	152	18915
8	154	16983
9	155	15422
10	157	14134
11	158	13061
12	160	12154
13	161	11364
14	162	10684
15	164	10088
16	165	9563
17	166	9097
18	168	8710
19	170	8343
20	171	8011
21	173	7700
22	174	7410
23	177	7212
24	178	6971
25	180	6752
26	181	6550
27	183	6354
28	184	6175
29	185	6012
30	187	5855
31	188	5712
32	190	5580
33	191	5453
34	193	5336
35	195	5246
36	197	5136
37	198	5032
38	200	4936
39	201	4838
40	202	4743
41	204	4654
42	205	4570
43	207	4507
44	208	4433
45	210	4360
46	211	4291
47	213	4225
48	214	4161
49	215	4100
50	217	4042
51	218	3985
52	220	3936
53	221	3883
54	222	3829
55	224	3782
56	225	3733
57	226	3685
58	228	3639
59	229	3594
60	230	3554
61	232	3513
62	234	3481
63	235	3443
64	236	3406
65	238	3370
66	239	3334
67	240	3291
68	241	3258
69	242	3224
70	244	3193
71	245	3161
72	246	3134
73	248	3106
74	249	3078
75	250	3049
76	252	3023
77	253	3000
78	255	2974
79	256	2948
80	257	2923
81	259	2899
82	260	2879
83	261	2856
84	262	2829
85	264	2806
86	264	2779
87	266	2757
88	267	2736
89	268	2717
90	270	2698
91	271	2679
92	273	2668
93	274	2650
94	276	2632
95	277	2614
96	278	2596
97	280	2578
98	281	2561
99	282	2546
100	284	2529
101	284	2508
102	286	2495
103	287	2480
104	289	2464
105	290	2448
106	291	2433
107	293	2420
108	294	2407
109	295	2392
110	297	2383
111	328	2601
112	331	2603
113	333	2593
114	335	2581
115	336	2567
116	338	2555
117	340	2544
118	342	2532
119	344	2525
120	346	2514
121	347	2503
122	348	2485
123	350	2477
124	353	2472
125	355	2466
126	357	2454
127	358	2439
128	359	2427
129	360	2415
130	362	2403
131	363	2393
132	365	2381
133	366	2370
134	368	2362
135	370	2351
136	371	2341
137	372	2328
138	374	2318
139	375	2308
140	377	2298
141	378	2288
142	380	2279
143	383	2277
144	384	2269
145	386	2259
146	387	2249
147	389	2243
148	391	2234
149	392	2224
150	394	2218
151	395	2209
152	397	2199
153	398	2189
154	400	2181
155	401	2173
156	403	2164
157	404	2154
158	406	2148
159	407	2140
160	408	2131
161	410	2123
162	411	2113
163	412	2105
164	414	2096
165	415	2088
166	416	2079
167	418	2070
168	419	2063
169	421	2056
170	422	2049
171	424	2042
172	425	2034
173	427	2027
174	428	2020
175	430	2013
176	431	2007
177	433	2000
178	434	1994
179	436	1987
180	437	1977
181	438	1969
182	439	1963
183	441	1957
184	443	1951
185	444	1945
186	446	1941
187	448	1936
188	449	1930
189	451	1923
190	452	1917
191	454	1911
192	455	1905
193	457	1898
194	458	1893
195	460	1889
196	462	1883
197	463	1876
198	464	1870
199	466	1864
200	467	1857
201	469	1854
202	470	1847
203	474	1849
204	475	1844
205	476	1838
206	478	1832
207	479	1827
208	481	1821
209	482	1815
210	483	1809
211	485	1804
212	487	1800
213	488	1794
214	490	1789
215	491	1785
216	493	1780
217	494	1775
218	496	1769
219	497	1764
220	499	1759
221	500	1754
222	502	1750
223	504	1746
224	505	1740
225	506	1735
226	508	1730
227	509	1725
228	510	1719
229	512	1717
230	514	1712
231	515	1707
232	517	1703
233	518	1698
234	520	1693
235	521	1687
236	522	1682
237	523	1677
238	527	1679
239	528	1674
240	530	1670
241	532	1667
242	534	1665
243	536	1661
244	537	1656
245	540	1657
246	542	1653
247	543	1648
248	545	1645
249	546	1640
250	548	1635
251	549	1632
252	552	1630
253	553	1625
254	555	1621
255	556	1617
256	558	1613
257	559	1608
258	561	1605
259	562	1601
260	564	1597
261	565	1594
262	567	1590
263	568	1586
264	570	1582
265	571	1578
266	573	1574
267	575	1572
268	577	1569
269	579	1566
270	581	1563
271	582	1559
272	583	1555
273	585	1551
274	587	1548
275	589	1546
276	592	1546
277	594	1543
278	595	1539
279	597	1536
280	599	1533
281	600	1529
282	602	1526
283	604	1523
284	605	1520
285	607	1516
286	609	1513
287	611	1510
288	612	1507
289	614	1503
290	615	1500
291	617	1496
292	621	1500
293	623	1497
294	625	1494
295	627	1491
296	628	1488
297	630	1485
298	632	1482
299	633	1478
300	635	1474
301	636	1471
302	638	1467
303	639	1463
304	640	1460
305	642	1456
306	643	1453
307	645	1450
308	646	1446
309	648	1443
310	650	1440
311	651	1436
312	653	1433
313	654	1430
314	656	1427
315	658	1424
316	660	1422
317	662	1419
318	664	1417
319	665	1414
320	667	1410
321	668	1407
322	669	1403
323	671	1401
324	673	1398
325	674	1395
326	676	1391
327	677	1388
328	678	1384
329	680	1381
330	681	1378
331	683	1374
332	684	1371
333	686	1368
334	687	1364
335	688	1360
336	689	1357
337	691	1353
338	692	1349
339	693	1346
340	694	1342
341	696	1339
342	697	1336
343	699	1333
344	700	1329
345	702	1327
346	703	1324
347	705	1320
348	706	1317
349	707	1313
350	708	1310
351	709	1306
352	711	1303
353	712	1300
354	713	1297
355	715	1293
356	716	1290
357	717	1287
358	719	1284
359	720	1281
360	721	1277
361	723	1275
362	725	1272
363	726	1269
364	727	1266
365	729	1263
366	730	1260
367	732	1257
368	733	1254
369	735	1251
370	737	1249
371	738	1246
372	739	1243
373	741	1240
374	742	1237
375	743	1234
376	745	1231
377	746	1228
378	747	1225
379	749	1222
380	751	1220
381	752	1217
382	754	1214
383	755	1212
384	757	1209
385	758	1206
386	759	1203
387	761	1200
388	762	1197
389	764	1195
390	765	1192
391	767	1189
392	768	1187
393	770	1184
394	771	1181
395	772	1178
396	774	1175
397	775	1172
398	776	1170
399	778	1167
400	779	1164
401	781	1161
402	782	1158
403	783	1155
404	784	1152
405	785	1149
406	787	1146
407	788	1144
408	790	1141
409	791	1139
410	792	1136
411	794	1133
412	795	1130
413	796	1127
414	797	1124
415	799	1121
416	800	1118
417	801	1116
418	803	1113
419	804	1111
420	805	1108
421	807	1105
422	808	1102
423	809	1099
424	810	1096
425	812	1094
426	813	1091
427	814	1089
428	816	1086
429	817	1084
430	819	1081
431	820	1078
432	822	1076
433	823	1073
434	824	1071
435	825	1068
436	827	1065
437	828	1062
438	829	1060
439	831	1058
440	832	1055
441	834	1053
442	835	1050
443	836	1047
444	837	1044
445	839	1042
446	840	1039
447	841	1036
448	843	1034
449	844	1032
450	846	1029
451	847	1027
452	848	1024
453	849	1021
454	851	1019
455	852	1016
456	853	1014
457	854	1011
458	856	1009
459	857	1007
460	859	1004
461	860	1002
462	861	999
463	863	996
464	864	994
465	865	991
466	866	989
467	867	986
468	869	984
469	870	981
470	871	979
471	872	976
472	874	973
473	875	971
474	876	968
475	877	966
476	878	963
477	880	961
478	881	958
479	882	956
480	884	953
481	885	951
482	886	949
483	887	946
484	889	944
485	890	941
486	891	939
487	893	937
488	894	934
489	896	932
490	897	930
491	898	927
492	899	925
493	901	922
494	902	920
495	903	918
496	904	915
497	906	913
498	907	911
499	908	908
500	910	906
501	911	904
502	912	901
503	913	899
504	915	897
505	916	894
506	917	892
507	918	890
508	920	887
509	921	885
510	923	883
511	924	880
512	925	878
513	926	876
514	928	874
515	929	872
516	931	869
517	932	867
518	933	865
519	935	863
520	936	861
521	938	859
522	940	857
523	941	855
524	943	853
525	944	851
526	945	848
527	947	846
528	949	844
529	950	842
530	951	840
531	953	838
532	954	836
533	956	834
534	957	832
535	959	830
536	960	828
537	962	826
538	963	824
539	964	821
540	966	819
541	967	817
542	968	815
543	970	813
544	971	811
545	973	809
546	974	806
547	976	805
548	977	803
549	978	800
550	980	798
551	981	796
552	983	794
553	984	792
554	986	790
555	987	788
556	990	787
557	992	785
558	993	783
559	994	781
560	996	779
561	997	777
562	999	775
563	1000	773
564	1002	771
565	1004	770
566	1005	768
567	1007	766
568	1008	764
569	1010	762
570	1011	760
571	1013	758
572	1014	756
573	1015	753
574	1021	754
575	1022	752
576	1024	750
577	1025	748
578	1026	746
579	1028	744
580	1030	742
581	1032	741
582	1034	739
583	1035	737
584	1036	735
585	1038	733
586	1039	731
587	1041	729
588	1042	727
589	1044	725
590	1045	723
591	1047	721
592	1048	719
593	1050	717
594	1051	715
595	1052	713
596	1054	711
597	1055	709
598	1057	707
599	1058	705
600	1060	703
601	1061	702
602	1063	699
603	1064	697
604	1065	695
605	1067	693
606	1069	692
607	1071	690
608	1072	688
609	1073	686
610	1075	684
611	1076	682
612	1077	680
613	1079	678
614	1080	676
615	1082	675
616	1084	673
617	1085	671
618	1087	669
619	1088	667
620	1090	665
621	1091	663
622	1092	661
623	1094	659
624	1096	657
625	1097	655
626	1098	653
627	1100	651
628	1101	649
629	1103	647
630	1104	645
631	1105	643
632	1108	642
633	1109	640
634	1111	638
635	1112	636
636	1114	635
637	1116	633
638	1117	631
639	1118	629
640	1121	628
641	1122	626
642	1124	624
643	1125	622
644	1126	620
645	1128	618
646	1129	616
647	1131	614
648	1133	612
649	1136	611
650	1137	610
651	1139	608
652	1140	606
653	1142	604
654	1143	602
655	1145	600
656	1146	598
657	1148	596
658	1149	595
659	1151	593
660	1152	591
661	1154	589
662	1155	587
663	1157	585
664	1158	583
665	1160	581
666	1162	580
667	1163	578
668	1165	576
669	1166	574
670	1168	572
671	1170	571
672	1171	569
673	1174	567
674	1175	566
675	1178	564
676	1181	563
677	1183	562
678	1185	560
679	1189	559
680	1190	557
681	1192	556
682	1204	559
683	1210	559
684	1212	557
685	1214	555
686	1216	554
687	1218	552
688	1220	550
689	1222	549
690	1223	547
691	1233	548
692	1235	547
693	1237	545
694	1239	543
695	1240	541
696	1242	540
697	1249	540
698	1252	539
699	1254	537
700	1256	535
701	1258	534
702	1260	532
703	1262	530
704	1263	528
705	1264	526
706	1266	524
707	1268	523
708	1271	521
709	1272	519
710	1274	517
711	1275	516
712	1278	514
713	1279	512
714	1281	510
715	1283	509
716	1285	507
717	1287	505
718	1289	504
719	1291	502
720	1293	500
721	1294	498
722	1296	496
723	1298	495
724	1300	493
725	1301	491
726	1303	489
727	1304	487
728	1306	485
729	1308	483
730	1309	482
731	1311	480
732	1313	478
733	1314	476
734	1316	474
735	1318	472
736	1319	471
737	1321	469
738	1322	467
739	1324	465
740	1326	463
741	1327	461
742	1329	459
743	1330	457
744	1332	456
745	1333	454
746	1335	452
747	1336	450
748	1338	448
749	1340	446
750	1341	444
751	1342	442
752	1343	440
753	1345	438
754	1346	436
755	1347	435
756	1349	433
757	1351	431
758	1353	429
759	1354	427
760	1356	426
761	1358	424
762	1359	422
763	1361	420
764	1362	418
765	1364	416
766	1365	414
767	1367	413
768	1368	411
769	1370	409
770	1371	407
771	1373	405
772	1374	403
773	1376	401
774	1377	399
775	1379	398
776	1380	396
777	1382	394
778	1383	392
779	1385	390
780	1386	388
781	1388	387
782	1389	385
783	1391	383
784	1393	381
