iter	Passed	Remaining
0	160	160569
1	162	80930
2	163	54354
3	164	41015
4	166	33071
5	168	27895
6	169	24065
7	170	21196
8	172	18958
9	173	17185
10	174	15722
11	175	14489
12	177	13449
13	178	12555
14	179	11775
15	181	11144
16	182	10575
17	184	10038
18	185	9566
19	186	9162
20	188	8784
21	189	8438
22	191	8118
23	192	7825
24	194	7566
25	195	7315
26	196	7084
27	197	6870
28	199	6674
29	200	6483
30	201	6306
31	202	6136
32	204	5984
33	205	5836
34	206	5703
35	208	5580
36	209	5461
37	211	5342
38	212	5231
39	213	5126
40	215	5030
41	216	4938
42	217	4846
43	219	4758
44	220	4681
45	222	4604
46	223	4541
47	225	4469
48	226	4396
49	227	4326
50	228	4260
51	230	4195
52	231	4133
53	232	4080
54	234	4031
55	235	3975
56	238	3937
57	239	3886
58	240	3835
59	242	3794
60	243	3748
61	244	3702
62	245	3656
63	247	3620
64	248	3578
65	250	3537
66	251	3500
67	252	3465
68	254	3427
69	255	3395
70	256	3361
71	258	3328
72	259	3294
73	261	3270
74	262	3239
75	263	3209
76	265	3183
77	267	3158
78	268	3131
79	270	3105
80	271	3079
81	273	3057
82	273	3026
83	275	3002
84	277	2983
85	278	2965
86	281	2949
87	282	2928
88	283	2904
89	285	2884
90	288	2876
91	289	2854
92	290	2836
93	292	2817
94	293	2797
95	295	2779
96	296	2759
97	297	2738
98	298	2719
99	300	2707
100	302	2689
101	303	2670
102	304	2653
103	306	2636
104	307	2621
105	308	2604
106	310	2588
107	311	2573
108	312	2558
109	314	2544
110	315	2529
111	317	2513
112	318	2498
113	319	2483
114	320	2468
115	321	2453
116	322	2436
117	324	2423
118	325	2410
119	327	2403
120	329	2390
121	330	2375
122	331	2364
123	333	2353
124	334	2342
125	335	2330
126	336	2316
127	338	2305
128	340	2298
129	341	2288
130	343	2276
131	344	2264
132	345	2253
133	347	2243
134	348	2232
135	349	2221
136	350	2210
137	352	2201
138	354	2195
139	355	2185
140	357	2175
141	357	2162
142	359	2153
143	360	2143
144	361	2134
145	363	2124
146	364	2114
147	365	2104
148	369	2109
149	371	2106
150	373	2100
151	375	2093
152	377	2087
153	378	2081
154	381	2080
155	383	2074
156	385	2067
157	387	2064
158	389	2060
159	391	2053
160	392	2043
161	394	2041
162	397	2038
163	398	2030
164	399	2023
165	401	2016
166	403	2010
167	404	2005
168	407	2002
169	409	1997
170	411	1993
171	412	1985
172	413	1978
173	415	1971
174	416	1963
175	417	1956
176	419	1951
177	421	1945
178	422	1938
179	423	1931
180	425	1926
181	426	1918
182	428	1913
183	430	1909
184	432	1904
185	434	1903
186	436	1897
187	437	1891
188	439	1887
189	441	1881
190	442	1875
191	444	1869
192	445	1863
193	447	1859
194	449	1854
195	450	1848
196	452	1844
197	455	1843
198	456	1837
199	458	1834
200	462	1840
201	464	1836
202	466	1832
203	468	1827
204	470	1822
205	471	1818
206	474	1817
207	476	1812
208	477	1807
209	479	1804
210	481	1800
211	483	1798
212	485	1794
213	488	1793
214	490	1789
215	491	1785
216	493	1780
